agencia,hora,lambda,servidores,Cs,Cq
AG.PARQUE DE LAS FLORES LOS GUINDALES,09:00:00 - 09:59:59,50.5,5,13.64,27.29
AG.PARQUE DE LAS FLORES LOS GUINDALES,10:00:00 - 10:59:59,60.12,5,13.64,27.29
AG.PARQUE DE LAS FLORES LOS GUINDALES,11:00:00 - 11:59:59,58.9,5,13.64,27.29
AG.PARQUE DE LAS FLORES LOS GUINDALES,12:00:00 - 12:59:59,43.48,5,13.64,27.29
AG.PARQUE DE LAS FLORES LOS GUINDALES,13:00:00 - 13:59:59,35,5,13.64,27.29
AG.PARQUE DE LAS FLORES LOS GUINDALES,14:00:00 - 14:59:59,31.64,5,13.64,27.29
AG.PARQUE DE LAS FLORES LOS GUINDALES,15:00:00 - 15:59:59,44.23,5,13.64,27.29
AG.PARQUE DE LAS FLORES LOS GUINDALES,16:00:00 - 16:59:59,59.11,5,13.64,27.29
AG.PARQUE DE LAS FLORES LOS GUINDALES,17:00:00 - 17:59:59,65.28,5,13.64,27.29
AG.PARQUE DE LAS FLORES LOS GUINDALES,18:00:00 - 18:59:59,23.45,5,13.64,27.29
AG. CIUDAD UNIVERSITARIA,09:00:00 - 09:59:59,55.2,6,12.72,25.44
AG. CIUDAD UNIVERSITARIA,10:00:00 - 10:59:59,65.62,6,12.72,25.44
AG. CIUDAD UNIVERSITARIA,11:00:00 - 11:59:59,63.15,6,12.72,25.44
AG. CIUDAD UNIVERSITARIA,12:00:00 - 12:59:59,45.16,6,12.72,25.44
AG. CIUDAD UNIVERSITARIA,13:00:00 - 13:59:59,36.7,6,12.72,25.44
AG. CIUDAD UNIVERSITARIA,14:00:00 - 14:59:59,34.92,6,12.72,25.44
AG. CIUDAD UNIVERSITARIA,15:00:00 - 15:59:59,46.44,6,12.72,25.44
AG. CIUDAD UNIVERSITARIA,16:00:00 - 16:59:59,60.74,6,12.72,25.44
AG. CIUDAD UNIVERSITARIA,17:00:00 - 17:59:59,67.83,6,12.72,25.44
AG. CIUDAD UNIVERSITARIA,18:00:00 - 18:59:59,24,6,12.72,25.44
