agencia,hora,turno,lambda_,mu,s_actual,s_optimo,diferencia_servidores,rho_actual,rho_optimo,Wq_actual,Wq_optimo,CT_actual,CT_optimo,ahorro_costo,capacidad_actual,capacidad_optima,cumple_rho_actual,cumple_Wq_actual,estado,exceso_servidores,deficit_servidores,cumple_SLA,wq_delta_vs_limite,rho_delta_vs_limite,decision_dotacion
AG.PARQUE DE LAS FLORES LOS GUINDALES,09:00,Turno 1 (09-14),50.5000,13.5200,5,5,0,0.7470,0.7470,1.6019,1.6019,206.9300,206.9300,0.0000,67.6000,67.6000,SÍ,SÍ,Óptimo,0,0,SÍ,-3.3981,-0.1030,MANTENER
AG.PARQUE DE LAS FLORES LOS GUINDALES,10:00,Turno 1 (09-14),60.1200,13.0540,5,6,-1,0.9211,0.7676,9.4390,1.4972,451.9900,248.4600,203.5200,65.2700,78.3200,NO,NO,Subdimensionado,0,1,NO,4.4390,0.0711,CONTRATAR
AG.PARQUE DE LAS FLORES LOS GUINDALES,11:00,Turno 1 (09-14),58.9000,12.9100,5,6,-1,0.9125,0.7604,8.3992,1.4252,417.7200,244.5300,173.1900,64.5500,77.4600,NO,NO,Subdimensionado,0,1,NO,3.3992,0.0625,CONTRATAR
AG.PARQUE DE LAS FLORES LOS GUINDALES,12:00,Turno 1 (09-14),43.4800,12.4170,5,5,0,0.7003,0.7003,1.2200,1.2200,187.8800,187.8800,0.0000,62.0900,62.0900,SÍ,SÍ,Óptimo,0,0,SÍ,-3.7800,-0.1497,MANTENER
AG.PARQUE DE LAS FLORES LOS GUINDALES,13:00,Turno 1 (09-14),35.0000,12.5840,5,4,1,0.5563,0.6953,0.3985,1.6488,150.4500,156.7100,-6.2600,62.9200,50.3400,SÍ,SÍ,Sobredimensionado,1,0,SÍ,-4.6015,-0.2937,REDUCIR
AG.PARQUE DE LAS FLORES LOS GUINDALES,14:00,Turno 2 (14-18),31.6400,12.7580,5,4,1,0.4960,0.6200,0.2368,0.9689,139.2900,136.1800,3.1000,63.7900,51.0300,SÍ,SÍ,Sobredimensionado,1,0,SÍ,-4.7632,-0.3540,REDUCIR
AG.PARQUE DE LAS FLORES LOS GUINDALES,15:00,Turno 2 (14-18),44.2300,13.1350,5,5,0,0.6735,0.6735,0.9425,0.9425,179.0600,179.0600,0.0000,65.6700,65.6700,SÍ,SÍ,Óptimo,0,0,SÍ,-4.0575,-0.1765,MANTENER
AG.PARQUE DE LAS FLORES LOS GUINDALES,16:00,Turno 2 (14-18),59.1100,12.9740,5,6,-1,0.9112,0.7594,8.2096,1.4058,413.2600,243.9700,169.2800,64.8700,77.8400,NO,NO,Subdimensionado,0,1,NO,3.2096,0.0612,CONTRATAR
AG.PARQUE DE LAS FLORES LOS GUINDALES,17:00,Turno 2 (14-18),65.2800,11.8200,5,7,-2,,0.7890,,1.5918,,293.4600,,59.1000,82.7400,NO,NO,Subdimensionado,0,2,NO,,,CONTRATAR
AG.PARQUE DE LAS FLORES LOS GUINDALES,18:00,Turno 2 (14-18),23.4500,9.6320,5,4,1,0.4869,0.6086,0.2894,1.1866,137.7300,133.6600,4.0700,48.1600,38.5300,SÍ,SÍ,Sobredimensionado,1,0,SÍ,-4.7106,-0.3631,REDUCIR
