agencia,hora,lambda,mu,C_s2,Cs,Cq,servidores_actuales,servidores_optimos,decision,rho,P0,Lq_mms,Wq_m_mms,Ws_m_mms,Ls_mms,Lq_mgs,Wq_m_mgs,Ws_m_mgs,Ls_mgs,serv_ocupados,serv_ociosos,CTS,CTS_idle,CTQ_mgs,CT_actual,CT_optimo,Wq_m_optimo,ahorro_potencial,contratar_auxiliar,util_pct
AG.PARQUE DE LAS FLORES LOS GUINDALES,09:00:00 - 09:59:59,50.5,13.5202,0.6463,13.64,27.29,5,6,CONTRATAR 1,0.747,0.0191,1.3482,1.6019,6.0396,5.0834,1.1098,1.3185,5.7563,4.8449,3.7351,1.2649,152.88,17.25,30.29,200.42,192.08,0.36,8.34,SÍ,74.7
AG.PARQUE DE LAS FLORES LOS GUINDALES,10:00:00 - 10:59:59,60.12,13.0541,0.7085,13.64,27.29,5,7,CONTRATAR 2,0.9211,0.0037,9.4578,9.439,14.0352,14.0633,8.0793,8.0631,12.6594,12.6847,4.6054,0.3946,188.5,5.38,220.48,414.37,231.82,0.39,182.55,SÍ,92.1
AG.PARQUE DE LAS FLORES LOS GUINDALES,11:00:00 - 11:59:59,58.9,12.9096,0.7344,13.64,27.29,5,7,CONTRATAR 2,0.9125,0.0042,8.2452,8.3992,13.0469,12.8077,7.1504,7.284,11.9317,11.7129,4.5625,0.4375,186.74,5.97,195.13,387.85,230.14,0.38,157.7,SÍ,91.2
AG.PARQUE DE LAS FLORES LOS GUINDALES,12:00:00 - 12:59:59,43.48,12.4173,0.7698,13.64,27.29,5,6,CONTRATAR 1,0.7003,0.0258,0.8841,1.22,6.052,4.3857,0.7823,1.0796,5.9115,4.2839,3.5016,1.4984,143.32,20.44,21.35,185.11,183.41,0.3,1.69,SÍ,70.0
AG.PARQUE DE LAS FLORES LOS GUINDALES,13:00:00 - 13:59:59,35.0,12.584,0.7422,13.64,27.29,5,5,MANTENER,0.5563,0.0593,0.2325,0.3985,5.1665,3.0138,0.2025,0.3472,5.1151,2.9838,2.7813,2.2187,113.84,30.26,5.53,149.63,149.63,0.35,0.0,NO,55.6
AG.PARQUE DE LAS FLORES LOS GUINDALES,14:00:00 - 14:59:59,31.64,12.7581,0.7332,13.64,27.29,5,4,REDUCIR 1,0.496,0.0818,0.1249,0.2368,4.9397,2.6049,0.1082,0.2052,4.9081,2.5882,2.48,2.52,101.51,34.37,2.95,138.83,134.32,0.84,4.51,NO,49.6
AG.PARQUE DE LAS FLORES LOS GUINDALES,15:00:00 - 15:59:59,44.23,13.1346,0.6632,13.64,27.29,5,5,MANTENER,0.6735,0.0305,0.6947,0.9425,5.5105,4.0622,0.5777,0.7837,5.3518,3.9452,3.3674,1.6326,137.83,22.27,15.77,175.86,175.86,0.78,0.0,NO,67.3
AG.PARQUE DE LAS FLORES LOS GUINDALES,16:00:00 - 16:59:59,59.11,12.9735,0.727,13.64,27.29,5,7,CONTRATAR 2,0.9112,0.0043,8.0879,8.2096,12.8345,12.6441,6.984,7.0891,11.7139,11.5402,4.5562,0.4438,186.49,6.05,190.59,383.13,229.84,0.37,153.3,SÍ,91.1
AG.PARQUE DE LAS FLORES LOS GUINDALES,17:00:00 - 17:59:59,65.28,11.8197,0.8771,13.64,27.29,5,8,CONTRATAR 3,1.1046,,,,,,,,,,,,,,,,274.44,0.49,,SÍ,110.5
AG.PARQUE DE LAS FLORES LOS GUINDALES,18:00:00 - 18:59:59,23.45,9.632,0.9412,13.64,27.29,5,4,REDUCIR 1,0.4869,0.0858,0.1131,0.2894,6.5186,2.5477,0.1098,0.2809,6.5101,2.5444,2.4346,2.5654,99.65,34.99,3.0,137.64,133.28,1.15,4.35,NO,48.7
AG. CIUDAD UNIVERSITARIA,09:00:00 - 09:59:59,55.2,13.5115,0.6649,12.72,25.44,6,6,MANTENER,0.6809,0.0151,0.6531,0.7099,5.1505,4.7385,0.5436,0.5909,5.0316,4.629,4.0854,1.9146,155.9,24.35,13.83,194.08,194.08,0.59,0.0,NO,68.1
AG. CIUDAD UNIVERSITARIA,10:00:00 - 10:59:59,65.62,13.1409,0.7143,12.72,25.44,6,7,CONTRATAR 1,0.8323,0.0046,2.9037,2.655,7.2209,7.8972,2.4888,2.2757,6.8416,7.4824,4.9936,1.0064,190.56,12.8,63.32,266.67,233.59,0.63,33.09,SÍ,83.2
AG. CIUDAD UNIVERSITARIA,11:00:00 - 11:59:59,63.15,12.8533,0.7283,12.72,25.44,6,7,CONTRATAR 1,0.8189,0.0052,2.5164,2.3909,7.0589,7.4295,2.1746,2.0661,6.7341,7.0877,4.9131,1.0869,187.48,13.83,55.32,256.63,229.75,0.59,26.88,SÍ,81.9
AG. CIUDAD UNIVERSITARIA,12:00:00 - 12:59:59,45.16,12.6118,0.7593,12.72,25.44,6,6,MANTENER,0.5968,0.0266,0.2854,0.3791,5.1366,3.8661,0.251,0.3335,5.091,3.8318,3.5808,2.4192,136.64,30.77,6.39,173.8,173.8,0.33,0.0,NO,59.7
