agencia,hora,escenario,lambda_var,CT_var,Wq_m_var,s_opt_var
AG.PARQUE DE LAS FLORES LOS GUINDALES,09:00:00 - 09:59:59,-20%,40.4,157.53,0.42,5
AG.PARQUE DE LAS FLORES LOS GUINDALES,09:00:00 - 09:59:59,-10%,45.45,175.38,0.75,5
AG.PARQUE DE LAS FLORES LOS GUINDALES,09:00:00 - 09:59:59,Base,50.5,200.42,1.32,6
AG.PARQUE DE LAS FLORES LOS GUINDALES,09:00:00 - 09:59:59,+10%,55.55,242.12,2.45,6
AG.PARQUE DE LAS FLORES LOS GUINDALES,09:00:00 - 09:59:59,+20%,60.6,337.23,5.32,7
AG.PARQUE DE LAS FLORES LOS GUINDALES,10:00:00 - 10:59:59,-20%,48.1,197.4,1.31,6
AG.PARQUE DE LAS FLORES LOS GUINDALES,10:00:00 - 10:59:59,-10%,54.11,250.39,2.81,6
AG.PARQUE DE LAS FLORES LOS GUINDALES,10:00:00 - 10:59:59,Base,60.12,414.37,8.06,7
AG.PARQUE DE LAS FLORES LOS GUINDALES,10:00:00 - 10:59:59,+10%,66.13,,,8
AG.PARQUE DE LAS FLORES LOS GUINDALES,10:00:00 - 10:59:59,+20%,72.14,,,8
AG.PARQUE DE LAS FLORES LOS GUINDALES,11:00:00 - 11:59:59,-20%,47.12,195.14,1.28,6
AG.PARQUE DE LAS FLORES LOS GUINDALES,11:00:00 - 11:59:59,-10%,53.01,245.04,2.69,6
AG.PARQUE DE LAS FLORES LOS GUINDALES,11:00:00 - 11:59:59,Base,58.9,387.85,7.28,7
AG.PARQUE DE LAS FLORES LOS GUINDALES,11:00:00 - 11:59:59,+10%,64.79,,,7
AG.PARQUE DE LAS FLORES LOS GUINDALES,11:00:00 - 11:59:59,+20%,70.68,,,8
AG.PARQUE DE LAS FLORES LOS GUINDALES,12:00:00 - 12:59:59,-20%,34.78,150.49,0.37,5
AG.PARQUE DE LAS FLORES LOS GUINDALES,12:00:00 - 12:59:59,-10%,39.13,165.54,0.64,5
AG.PARQUE DE LAS FLORES LOS GUINDALES,12:00:00 - 12:59:59,Base,43.48,185.11,1.08,6
AG.PARQUE DE LAS FLORES LOS GUINDALES,12:00:00 - 12:59:59,+10%,47.83,213.68,1.86,6
AG.PARQUE DE LAS FLORES LOS GUINDALES,12:00:00 - 12:59:59,+20%,52.18,263.54,3.4,6
AG.PARQUE DE LAS FLORES LOS GUINDALES,13:00:00 - 13:59:59,-20%,28.0,130.59,0.13,4
AG.PARQUE DE LAS FLORES LOS GUINDALES,13:00:00 - 13:59:59,-10%,31.5,139.63,0.22,4
AG.PARQUE DE LAS FLORES LOS GUINDALES,13:00:00 - 13:59:59,Base,35.0,149.63,0.35,5
AG.PARQUE DE LAS FLORES LOS GUINDALES,13:00:00 - 13:59:59,+10%,38.5,161.1,0.54,5
AG.PARQUE DE LAS FLORES LOS GUINDALES,13:00:00 - 13:59:59,+20%,42.0,174.93,0.82,5
AG.PARQUE DE LAS FLORES LOS GUINDALES,14:00:00 - 14:59:59,-20%,25.31,123.25,0.08,4
AG.PARQUE DE LAS FLORES LOS GUINDALES,14:00:00 - 14:59:59,-10%,28.48,130.79,0.13,4
AG.PARQUE DE LAS FLORES LOS GUINDALES,14:00:00 - 14:59:59,Base,31.64,138.83,0.21,4
AG.PARQUE DE LAS FLORES LOS GUINDALES,14:00:00 - 14:59:59,+10%,34.8,147.59,0.31,5
AG.PARQUE DE LAS FLORES LOS GUINDALES,14:00:00 - 14:59:59,+20%,37.97,157.42,0.46,5
AG.PARQUE DE LAS FLORES LOS GUINDALES,15:00:00 - 15:59:59,-20%,35.38,146.15,0.28,5
AG.PARQUE DE LAS FLORES LOS GUINDALES,15:00:00 - 15:59:59,-10%,39.81,159.42,0.47,5
AG.PARQUE DE LAS FLORES LOS GUINDALES,15:00:00 - 15:59:59,Base,44.23,175.86,0.78,5
AG.PARQUE DE LAS FLORES LOS GUINDALES,15:00:00 - 15:59:59,+10%,48.65,198.2,1.31,6
AG.PARQUE DE LAS FLORES LOS GUINDALES,15:00:00 - 15:59:59,+20%,53.08,232.98,2.26,6
AG.PARQUE DE LAS FLORES LOS GUINDALES,16:00:00 - 16:59:59,-20%,47.29,194.64,1.25,6
AG.PARQUE DE LAS FLORES LOS GUINDALES,16:00:00 - 16:59:59,-10%,53.2,243.87,2.64,6
AG.PARQUE DE LAS FLORES LOS GUINDALES,16:00:00 - 16:59:59,Base,59.11,383.13,7.09,7
AG.PARQUE DE LAS FLORES LOS GUINDALES,16:00:00 - 16:59:59,+10%,65.02,,,7
AG.PARQUE DE LAS FLORES LOS GUINDALES,16:00:00 - 16:59:59,+20%,70.93,,,8
AG.PARQUE DE LAS FLORES LOS GUINDALES,17:00:00 - 17:59:59,-20%,52.22,330.13,5.95,7
AG.PARQUE DE LAS FLORES LOS GUINDALES,17:00:00 - 17:59:59,-10%,58.75,4484.98,160.21,7
AG.PARQUE DE LAS FLORES LOS GUINDALES,17:00:00 - 17:59:59,Base,65.28,,,8
AG.PARQUE DE LAS FLORES LOS GUINDALES,17:00:00 - 17:59:59,+10%,71.81,,,9
AG.PARQUE DE LAS FLORES LOS GUINDALES,17:00:00 - 17:59:59,+20%,78.34,,,9
AG.PARQUE DE LAS FLORES LOS GUINDALES,18:00:00 - 18:59:59,-20%,18.76,122.27,0.11,4
AG.PARQUE DE LAS FLORES LOS GUINDALES,18:00:00 - 18:59:59,-10%,21.11,129.71,0.18,4
AG.PARQUE DE LAS FLORES LOS GUINDALES,18:00:00 - 18:59:59,Base,23.45,137.64,0.28,4
AG.PARQUE DE LAS FLORES LOS GUINDALES,18:00:00 - 18:59:59,+10%,25.8,146.29,0.43,5
AG.PARQUE DE LAS FLORES LOS GUINDALES,18:00:00 - 18:59:59,+20%,28.14,156.01,0.63,5
AG. CIUDAD UNIVERSITARIA,09:00:00 - 09:59:59,-20%,44.16,162.95,0.19,5
AG. CIUDAD UNIVERSITARIA,09:00:00 - 09:59:59,-10%,49.68,176.97,0.34,6
AG. CIUDAD UNIVERSITARIA,09:00:00 - 09:59:59,Base,55.2,194.08,0.59,6
AG. CIUDAD UNIVERSITARIA,09:00:00 - 09:59:59,+10%,60.72,217.18,1.03,7
AG. CIUDAD UNIVERSITARIA,09:00:00 - 09:59:59,+20%,66.24,253.35,1.86,7
AG. CIUDAD UNIVERSITARIA,10:00:00 - 10:59:59,-20%,52.5,190.27,0.55,6
AG. CIUDAD UNIVERSITARIA,10:00:00 - 10:59:59,-10%,59.06,217.98,1.09,7
AG. CIUDAD UNIVERSITARIA,10:00:00 - 10:59:59,Base,65.62,266.67,2.28,7
AG. CIUDAD UNIVERSITARIA,10:00:00 - 10:59:59,+10%,72.18,399.84,6.0,8
AG. CIUDAD UNIVERSITARIA,10:00:00 - 10:59:59,+20%,78.74,17139.54,506.5,9
AG. CIUDAD UNIVERSITARIA,11:00:00 - 11:59:59,-20%,50.52,187.5,0.52,6
AG. CIUDAD UNIVERSITARIA,11:00:00 - 11:59:59,-10%,56.84,213.34,1.02,7
AG. CIUDAD UNIVERSITARIA,11:00:00 - 11:59:59,Base,63.15,256.63,2.07,7
AG. CIUDAD UNIVERSITARIA,11:00:00 - 11:59:59,+10%,69.47,361.82,5.03,8
AG. CIUDAD UNIVERSITARIA,11:00:00 - 11:59:59,+20%,75.78,1410.28,36.85,9
AG. CIUDAD UNIVERSITARIA,12:00:00 - 12:59:59,-20%,36.13,150.89,0.11,5
AG. CIUDAD UNIVERSITARIA,12:00:00 - 12:59:59,-10%,40.64,161.7,0.2,5
AG. CIUDAD UNIVERSITARIA,12:00:00 - 12:59:59,Base,45.16,173.8,0.33,6
AG. CIUDAD UNIVERSITARIA,12:00:00 - 12:59:59,+10%,49.68,188.07,0.55,6
AG. CIUDAD UNIVERSITARIA,12:00:00 - 12:59:59,+20%,54.19,206.1,0.89,7
AG. CIUDAD UNIVERSITARIA,13:00:00 - 13:59:59,-20%,29.36,136.44,0.04,4
AG. CIUDAD UNIVERSITARIA,13:00:00 - 13:59:59,-10%,33.03,144.41,0.07,4
AG. CIUDAD UNIVERSITARIA,13:00:00 - 13:59:59,Base,36.7,152.76,0.12,5
AG. CIUDAD UNIVERSITARIA,13:00:00 - 13:59:59,+10%,40.37,161.68,0.2,5
AG. CIUDAD UNIVERSITARIA,13:00:00 - 13:59:59,+20%,44.04,171.47,0.31,6
AG. CIUDAD UNIVERSITARIA,14:00:00 - 14:59:59,-20%,27.94,132.3,0.03,4
AG. CIUDAD UNIVERSITARIA,14:00:00 - 14:59:59,-10%,31.43,139.6,0.05,4
AG. CIUDAD UNIVERSITARIA,14:00:00 - 14:59:59,Base,34.92,147.14,0.09,5
AG. CIUDAD UNIVERSITARIA,14:00:00 - 14:59:59,+10%,38.41,155.04,0.14,5
